indication_class,molecule_chembl_id,molecule_type,pref_name
Antimalarial,CHEMBL1200901,Small molecule,HALOFANTRINE HYDROCHLORIDE
Sedative-Hypnotic,CHEMBL1200903,Small molecule,SECOBARBITAL SODIUM
Antidyskinetic; Antiparkinsonian (in combination with levodopa/carbidopa),CHEMBL1200904,Small molecule,SELEGILINE HYDROCHLORIDE
,CHEMBL1200906,Small molecule,OXYPHENONIUM BROMIDE
Adrenocortical Suppressant,CHEMBL1200907,Small molecule,TRILOSTANE
Anti-Inflammatory (topical),CHEMBL1200908,Small molecule,HALOBETASOL PROPIONATE
Glucocorticoid,CHEMBL1200909,Small molecule,PREDNISOLONE TEBUTATE
Antibacterial,CHEMBL1200910,Small molecule,SULFISOXAZOLE ACETYL
Appetite Suppressant (systemic),CHEMBL1200912,Small molecule,PHENTERMINE HYDROCHLORIDE
Benign Prostatic Hyperplasia Therapy Agent,CHEMBL1200914,Small molecule,TAMSULOSIN HYDROCHLORIDE
Sedative-Hypnotic; Antipsychotic,CHEMBL1200916,Small molecule,THIORIDAZINE HYDROCHLORIDE
Bronchodilator,CHEMBL1200920,Small molecule,ISOETHARINE HYDROCHLORIDE
Antihypertensive,CHEMBL1200922,Small molecule,MEBUTAMATE
Diagnostic Aid (hepatobiliary function determination); Radioactive Agent,CHEMBL1200923,Small molecule,TECHNETIUM TC 99M DISOFENIN
Pharmaceutic Aid (buffering agent),CHEMBL1200925,Small molecule,"POTASSIUM PHOSPHATE, MONOBASIC"
Antihistaminic,CHEMBL1200927,Small molecule,DEXCHLORPHENIRAMINE MALEATE
,CHEMBL1200928,Small molecule,ZINC ACETATE
Astringent (ophthalmic),CHEMBL1200929,Small molecule,ZINC SULFATE
Anti-Ulcerative; Gastric Acid Pump Inhibitor,CHEMBL1200930,Small molecule,RABEPRAZOLE SODIUM
Radioactive Agent; Diagnostic Aid (skeletal imaging),CHEMBL1200931,Small molecule,TECHNETIUM TC 99M MEDRONATE
Diagnostic Aid (radiopaque medium),CHEMBL1200932,Small molecule,IOPAMIDOL
Relaxant (skeletal muscle); Synergist (succinylcholine),CHEMBL1200933,Small molecule,HEXAFLUORENIUM BROMIDE
Progestin,CHEMBL1200934,Small molecule,NORGESTIMATE
,CHEMBL1200935,Small molecule,DARIFENACIN HYDROBROMIDE
Antibacterial,CHEMBL1200936,Small molecule,PENICILLIN G PROCAINE
Antibacterial,CHEMBL1200937,Small molecule,DALFOPRISTIN
Acidifier; Diuretic,CHEMBL1200939,Small molecule,AMMONIUM CHLORIDE
Anti-Emetic,CHEMBL1200940,Small molecule,METOCLOPRAMIDE HYDROCHLORIDE
Vitamin (enzyme co-factor),CHEMBL1200941,Small molecule,THIAMINE HYDROCHLORIDE
,CHEMBL1200943,Small molecule,MERSALYL
Synergist (penicillin/cephalosporin); Inhibitor (beta-lactamase),CHEMBL1200944,Small molecule,SULBACTAM SODIUM
Chelating Agent (plutonium),CHEMBL1200945,Small molecule,PENTETATE CALCIUM TRISODIUM
Androgen,CHEMBL1200946,Small molecule,NANDROLONE DECANOATE
,CHEMBL1200947,Small molecule,METIPRANOLOL HYDROCHLORIDE
Antidepressant,CHEMBL1200948,Small molecule,TRIMIPRAMINE MALEATE
,CHEMBL1200949,Small molecule,BETAZOLE HYDROCHLORIDE
Anticholinergic,CHEMBL1200950,Small molecule,CLIDINIUM BROMIDE
Antipsychotic,CHEMBL1200951,Small molecule,FLUPHENAZINE ENANTHATE
Stimulant (central),CHEMBL1200952,Small molecule,METHAMPHETAMINE HYDROCHLORIDE
Glucocorticoid,CHEMBL1200953,Small molecule,HYDROCORTISONE PROBUTATE
,CHEMBL1200955,Small molecule,MYCOPHENOLATE MOFETIL HYDROCHLORIDE
Antipruritic,CHEMBL1200959,Small molecule,METHDILAZINE
Antihistaminic,CHEMBL1200961,Small molecule,BROMPHENIRAMINE MALEATE
Antibacterial,CHEMBL1200962,Small molecule,CEFEPIME HYDROCHLORIDE
,CHEMBL1200963,Small molecule,BIMATOPROST
Antidepressant,CHEMBL1200964,Small molecule,AMITRIPTYLINE HYDROCHLORIDE
Antibacterial,CHEMBL1200965,Small molecule,BACAMPICILLIN HYDROCHLORIDE
Antihistaminic,CHEMBL1200967,Small molecule,BROMODIPHENHYDRAMINE HYDROCHLORIDE
Glucocorticoid,CHEMBL1200968,Small molecule,HYDROCORTISONE SODIUM PHOSPHATE
,CHEMBL1200969,Small molecule,DUTASTERIDE
Antiparkinsonian,CHEMBL1200970,Small molecule,ETHOPROPAZINE HYDROCHLORIDE
Antibacterial,CHEMBL1200971,Small molecule,CEPHALOGLYCIN
Antitussive,CHEMBL1200972,Small molecule,CHLOPHEDIANOL HYDROCHLORIDE
Estrogen,CHEMBL1200973,Small molecule,ESTRADIOL CYPIONATE
Antihistaminic,CHEMBL1200974,Small molecule,CARBINOXAMINE MALEATE
Glucocorticoid,CHEMBL1200975,Small molecule,CLOCORTOLONE PIVALATE
Antineoplastic,CHEMBL1200976,Small molecule,IDARUBICIN HYDROCHLORIDE
,CHEMBL1200977,Small molecule,MILRINONE LACTATE
Cholinergic,CHEMBL1200979,Small molecule,DEXPANTHENOL
Estrogen,CHEMBL1200980,Small molecule,ESTROPIPATE
Antineoplastic,CHEMBL1200981,Small molecule,EPIRUBICIN HYDROCHLORIDE
Sedative-Hypnotic,CHEMBL1200982,Small molecule,BUTABARBITAL SODIUM
Regulator (calcium),CHEMBL1200983,Small molecule,GALLIUM NITRATE
Antihypertensive; Anti-Anginal,CHEMBL1200984,Small molecule,AMLODIPINE MALEATE
Antipsychotic,CHEMBL1200986,Small molecule,HALOPERIDOL DECANOATE
Antihypertensive,CHEMBL1200987,Small molecule,EPROSARTAN MESYLATE
,CHEMBL1200988,Small molecule,METHANTHELINE BROMIDE
Anti-Inflammatory (topical),CHEMBL1200989,Small molecule,ALCLOMETASONE DIPROPIONATE
Antibacterial,CHEMBL1200991,Small molecule,CARBENICILLIN INDANYL SODIUM
Neuromuscular Blocking Agent,CHEMBL1200993,Small molecule,GALLAMINE TRIETHIODIDE
Diagnostic Aid (radiopaque medium); Radioactive Agent,CHEMBL1200994,Small molecule,GALLIUM CITRATE GA 67
,CHEMBL1201000,Small molecule,NITROFURANTOIN SODIUM
Antineoplastic,CHEMBL1201001,Small molecule,MECHLORETHAMINE HYDROCHLORIDE
Anti-Adrenergic (beta-receptor),CHEMBL1201002,Small molecule,CARTEOLOL HYDROCHLORIDE
,CHEMBL1201003,Small molecule,ELETRIPTAN HYDROBROMIDE
Antibacterial,CHEMBL1201005,Small molecule,CEFONICID SODIUM
Antihistaminic,CHEMBL1201006,Small molecule,PYRILAMINE MALEATE
Adrenocortical Steroid (salt-regulating),CHEMBL1201010,Small molecule,FLUDROCORTISONE ACETATE
Enzyme Inhibitor (angiotensin-converting); Antihypertensive,CHEMBL1201011,Small molecule,QUINAPRIL HYDROCHLORIDE
Glucocorticoid,CHEMBL1201012,Small molecule,FLURANDRENOLIDE
Anti-Inflammatory (gastrointestinal),CHEMBL1201013,Small molecule,OLSALAZINE SODIUM
Glucocorticoid,CHEMBL1201014,Small molecule,PREDNISOLONE SODIUM PHOSPHATE
Astringent,CHEMBL1201015,Small molecule,ALUMINUM ACETATE
Antibacterial,CHEMBL1201016,Small molecule,CEFPODOXIME PROXETIL
Antibacterial,CHEMBL1201018,Small molecule,CEFACLOR
Antibacterial,CHEMBL1201019,Small molecule,CEFTIZOXIME SODIUM
Cardiac Depressant (anti-arrhythmic),CHEMBL1201020,Small molecule,DISOPYRAMIDE PHOSPHATE
Analgesic (urinary tract),CHEMBL1201022,Small molecule,PHENAZOPYRIDINE HYDROCHLORIDE
,CHEMBL1201023,Small molecule,ORPHENADRINE HYDROCHLORIDE
Anticholinergic,CHEMBL1201027,Small molecule,GLYCOPYRROLATE
Antimigraine,CHEMBL1201032,Small molecule,RIZATRIPTAN BENZOATE
Diagnostic Aid (radiopaque medium),CHEMBL1201033,Small molecule,IPODATE SODIUM
Anticholinergic; Antiparkinsonian,CHEMBL1201035,Small molecule,BIPERIDEN HYDROCHLORIDE
Antineoplastic; Antiprotozoal,CHEMBL1201037,Small molecule,EFLORNITHINE HYDROCHLORIDE
Antifungal,CHEMBL1201038,Small molecule,ACRISORCIN
Antihypertensive; Diuretic,CHEMBL1201039,Small molecule,BENZTHIAZIDE
Antibacterial,CHEMBL1201041,Small molecule,AZLOCILLIN SODIUM
Bone Resorption Inhibitor,CHEMBL1201042,Small molecule,ETIDRONATE DISODIUM
Antibacterial,CHEMBL1201043,Small molecule,CEPHAPIRIN SODIUM
Antiglaucoma Agent; Psychotropic; Adrenergic (alpha-blocking); Neuroleptic,CHEMBL1201044,Small molecule,DAPIPRAZOLE HYDROCHLORIDE
,CHEMBL1201045,Small molecule,ACETRIZOATE SODIUM
Antibacterial,CHEMBL1201046,Small molecule,CEFORANIDE
Analgesic (narcotic),CHEMBL1201047,Small molecule,ANILERIDINE HYDROCHLORIDE
Antineoplastic,CHEMBL1201048,Small molecule,DROMOSTANOLONE PROPIONATE
Antifungal,CHEMBL1201049,Small molecule,ECONAZOLE NITRATE
Anti-Allergic; Inhibitor (mediator release),CHEMBL1201050,Small molecule,PEMIROLAST POTASSIUM
Antagonist (to histamine-H2 receptors),CHEMBL1201051,Small molecule,CIMETIDINE HYDROCHLORIDE
Antipsychotic,CHEMBL1201052,Small molecule,MESORIDAZINE BESYLATE
Diagnostic Aid (pancreas function determination); Radioactive Agent,CHEMBL1201054,Small molecule,SELENOMETHIONINE SE 75
Antibacterial,CHEMBL1201056,Small molecule,SULFACYTINE
Enzyme Inhibitor,CHEMBL1201057,Small molecule,CILASTATIN SODIUM
Replenisher (electrolyte),CHEMBL1201058,Small molecule,POTASSIUM ACETATE
,CHEMBL1201059,Small molecule,CHLOROGUANIDE HYDROCHLORIDE
,CHEMBL1201060,Small molecule,LOXAPINE HYDROCHLORIDE
Bronchodilator; Asthma Prophylactic,CHEMBL1201061,Small molecule,LEVALBUTEROL HYDROCHLORIDE
Cardiac Depressant (anti-arrhythmic),CHEMBL1201063,Small molecule,PROPAFENONE HYDROCHLORIDE
Anti-Inflammatory,CHEMBL1201064,Small molecule,FLUOROMETHOLONE ACETATE
Anesthetic (intravenous),CHEMBL1201065,Small molecule,THIAMYLAL SODIUM
Antidepressant,CHEMBL1201066,Small molecule,VENLAFAXINE HYDROCHLORIDE
Antiparkinsonian; Anticholinergic,CHEMBL1201067,Small molecule,BIPERIDEN LACTATE
,CHEMBL1201068,Small molecule,PROPIOMAZINE HYDROCHLORIDE
Antibacterial,CHEMBL1201071,Small molecule,TETRACYCLINE PHOSPHATE COMPLEX
Diagnostic Aid,CHEMBL1201073,Small molecule,SUCCIMER
Diagnostic Aid,CHEMBL1201075,Small molecule,IOXILAN
Radioactive Agent,CHEMBL1201078,Small molecule,INDIUM IN 111 CHLORIDE
,CHEMBL1201080,Small molecule,TRIMETHOPRIM HYDROCHLORIDE
Glucocorticoid,CHEMBL1201081,Small molecule,METHYLPREDNISOLONE SODIUM SUCCINATE
Antidepressant,CHEMBL1201082,Small molecule,FLUOXETINE HYDROCHLORIDE
Diagnostic Aid (thyroid function determination); Radioactive Agent,CHEMBL1201083,Small molecule,SODIUM IODIDE I 123
Diagnostic Aid (thyroid function determination); Radioactive Agent; Antineoplastic,CHEMBL1201084,Small molecule,SODIUM IODIDE I 131
Dopamine Agonist; Antidyskinetic; Antihyperprolactinemic,CHEMBL1201087,Small molecule,CABERGOLINE
Antihistaminic,CHEMBL1201089,Small molecule,DIPHENHYDRAMINE CITRATE
,CHEMBL1201093,Small molecule,METHYL AMINOLEVULINATE HYDROCHLORIDE
Radioactive Agent,CHEMBL1201094,Small molecule,COBALTOUS CHLORIDE CO 60
Radioactive Agent; Diagnostic Aid (renal function determination),CHEMBL1201095,Small molecule,CHLORMERODRIN HG 197
Radioactive Agent,CHEMBL1201096,Small molecule,KRYPTON KR 81M
Antibacterial,CHEMBL1201098,Small molecule,CEFOTETAN DISODIUM
Antitussive; Analgesic (narcotic),CHEMBL1201099,Small molecule,CODEINE PHOSPHATE
Androgen,CHEMBL1201101,Small molecule,TESTOSTERONE CYPIONATE
Antipsychotic,CHEMBL1201102,Small molecule,TRIFLUPROMAZINE HYDROCHLORIDE
,CHEMBL1201103,Small molecule,METHOXAMINE HYDROCHLORIDE
Antibacterial (urinary),CHEMBL1201104,Small molecule,METHENAMINE HIPPURATE
,CHEMBL1201108,Small molecule,CONIVAPTAN HYDROCHLORIDE
Anti-Inflammatory,CHEMBL1201109,Small molecule,DESONIDE
Antiviral,CHEMBL1201110,Small molecule,VALACYCLOVIR HYDROCHLORIDE
Antineoplastic,CHEMBL1201112,Small molecule,NELARABINE
Anti-Adrenergic (beta-receptor),CHEMBL1201115,Small molecule,ESMOLOL HYDROCHLORIDE
Antibacterial,CHEMBL1201116,Small molecule,HETACILLIN
Relaxant (skeletal muscle),CHEMBL1201117,Small molecule,METHOCARBAMOL
Antibacterial,CHEMBL1201118,Small molecule,CEFMETAZOLE SODIUM
Thyroid Hormone,CHEMBL1201119,Small molecule,LIOTHYRONINE SODIUM
Analgesic,CHEMBL1201120,Small molecule,REMIFENTANIL HYDROCHLORIDE
Antibacterial,CHEMBL1201121,Small molecule,HETACILLIN POTASSIUM
Analgesic,CHEMBL1201124,Small molecule,KETOROLAC TROMETHAMINE
Diagnostic Aid (radiopaque medium),CHEMBL1201125,Small molecule,IOTHALAMATE MEGLUMINE
,CHEMBL1201127,Small molecule,DARUNAVIR ETHANOLATE
Antineoplastic,CHEMBL1201129,Small molecule,DECITABINE
Replenisher Adjunct (electrolyte),CHEMBL1201130,Small molecule,BETAINE HYDROCHLORIDE
,CHEMBL1201131,Small molecule,PIPERONYL BUTOXIDE
Antagonist (to narcotics); Analgesic,CHEMBL1201132,Small molecule,NALBUPHINE HYDROCHLORIDE
,CHEMBL1201134,Small molecule,LUBIPROSTONE
Protectant (topical),CHEMBL1201136,Small molecule,TITANIUM DIOXIDE
Antidote (to folic acid antagonists); Anti-Anemic (folate deficiency),CHEMBL1201138,Small molecule,LEUCOVORIN CALCIUM
Antineoplastic,CHEMBL1201139,Small molecule,MEGESTROL ACETATE
,CHEMBL1201141,Small molecule,IBUPROFEN LYSINE
Antiparkinsonian,CHEMBL1201142,Small molecule,RASAGILINE MESYLATE
Progestin,CHEMBL1201146,Small molecule,NORETHINDRONE ACETATE
Ultraviolet Screen,CHEMBL1201147,Small molecule,OCTOCRYLENE
,CHEMBL1201148,Small molecule,MEPREDNISONE
,CHEMBL1201149,Small molecule,NALTREXONE HYDROCHLORIDE
Antimigraine,CHEMBL1201150,Small molecule,SUMATRIPTAN SUCCINATE
Estrogen,CHEMBL1201151,Small molecule,MESTRANOL
,CHEMBL1201152,Small molecule,NALMEFENE HYDROCHLORIDE
Bronchodilator,CHEMBL1201153,Small molecule,ISOETHARINE MESYLATE
Antipsychotic; Anti-Emetic,CHEMBL1201154,Small molecule,PROCHLORPERAZINE EDISYLATE
Tranquilizer (minor),CHEMBL1201155,Small molecule,LOXAPINE SUCCINATE
Antidepressant,CHEMBL1201156,Small molecule,NORTRIPTYLINE HYDROCHLORIDE
,CHEMBL1201159,Small molecule,FENTANYL HYDROCHLORIDE
"Anti-Infective, Topical",CHEMBL1201161,Small molecule,MAFENIDE ACETATE
Carbonic Anhydrase Inhibitor,CHEMBL1201162,Small molecule,DORZOLAMIDE HYDROCHLORIDE
Analgesic (narcotic),CHEMBL1201163,Small molecule,SUFENTANIL CITRATE
Estrogen,CHEMBL1201165,Small molecule,QUINESTROL
,CHEMBL1201167,Small molecule,CARVEDILOL PHOSPHATE
Antidepressant,CHEMBL1201168,Small molecule,ISOCARBOXAZID
Antimanic,CHEMBL1201170,Small molecule,LITHIUM CITRATE
Anesthetic (topical),CHEMBL1201171,Small molecule,PRAMOXINE HYDROCHLORIDE
Diagnostic Aid (radiopaque medium),CHEMBL1201172,Small molecule,IODAMIDE MEGLUMINE
Glucocorticoid,CHEMBL1201173,Small molecule,MEDRYSONE
,CHEMBL1201174,Small molecule,SITAGLIPTIN PHOSPHATE
Anti-Adrenergic (beta-receptor),CHEMBL1201177,Small molecule,LEVOBUNOLOL HYDROCHLORIDE
,CHEMBL1201178,Small molecule,LISDEXAMFETAMINE DIMESYLATE
,CHEMBL1201179,Small molecule,LAPATINIB DITOSYLATE
,CHEMBL1201180,Small molecule,DICLOFENAC EPOLAMINE
,CHEMBL1201182,Small molecule,TEMSIROLIMUS
,CHEMBL1201186,Small molecule,BISMUTH SUBCITRATE POTASSIUM
,CHEMBL1201187,Small molecule,MARAVIROC
Radioactive Agent; Diagnostic Aid (cardiac imaging); Diagnostic Aid (liver imaging),CHEMBL1201189,Small molecule,AMMONIA N 13
,CHEMBL1201190,Small molecule,LEVOCETIRIZINE DIHYDROCHLORIDE
,CHEMBL1201191,Small molecule,LEVOCETIRIZINE
,CHEMBL1201192,Small molecule,ARMODAFINIL
,CHEMBL1201193,Small molecule,LEVOBUPIVACAINE
Antibacterial,CHEMBL1201195,Small molecule,CEFMETAZOLE
,CHEMBL1201196,Small molecule,SERTACONAZOLE
Antibacterial,CHEMBL1201197,Small molecule,ALATROFLOXACIN
Anti-Allergic; Inhibitor (mediator release),CHEMBL1201198,Small molecule,PEMIROLAST
Stimulant (central),CHEMBL1201201,Small molecule,METHAMPHETAMINE
Antiparkinsonian,CHEMBL1201203,Small molecule,BENZTROPINE
Antibacterial,CHEMBL1201204,Small molecule,CEFPIRAMIDE
Neuromuscular Blocking Agent,CHEMBL1201206,Small molecule,PIPECURONIUM
Glucocorticoid,CHEMBL1201207,Small molecule,BETAMETHASONE PHOSPHORIC ACID
Anorexic,CHEMBL1201208,Small molecule,PHENMETRAZINE
Sedative (pre-anesthetic),CHEMBL1201210,Small molecule,PROPIOMAZINE
Antihypotensive,CHEMBL1201212,Small molecule,MIDODRINE
Bronchodilator,CHEMBL1201213,Small molecule,ISOETHARINE
Antiglaucoma Agent; Psychotropic; Adrenergic (alpha-blocking); Neuroleptic,CHEMBL1201216,Small molecule,DAPIPRAZOLE
Anesthetic (topical),CHEMBL1201217,Small molecule,DYCLONINE
Antibacterial,CHEMBL1201218,Small molecule,CEFAMANDOLE NAFATE
Neuromuscular Blocking Agent,CHEMBL1201219,Small molecule,VECURONIUM
"Diagnostic Aid (radiopaque medium),Radioactive Agent",CHEMBL1201220,Small molecule,DIATRIZOIC ACID
,CHEMBL1201222,Small molecule,LISDEXAMFETAMINE
Antibacterial,CHEMBL1201224,Small molecule,CEFMENOXIME
"Anti-Infective, Topical",CHEMBL1201225,Small molecule,IODINE
,CHEMBL1201227,Small molecule,CYCRIMINE
Cholinergic (ophthalmic),CHEMBL1201229,Small molecule,DEMECARIUM
Glucocorticoid,CHEMBL1201231,Small molecule,PREDNISOLONE PHOSPHORIC ACID
Anticholinergic,CHEMBL1201232,Small molecule,ISOPROPAMIDE
Antihypertensive,CHEMBL1201233,Small molecule,METHYLDOPATE
Adrenergic (vasoconstrictor),CHEMBL1201234,Small molecule,MEPHENTERMINE
Anticholinergic,CHEMBL1201235,Small molecule,METHYLHOMATROPINE
Inhibitor (decarboxylase),CHEMBL1201236,Small molecule,CARBIDOPA
Anti-Adrenergic (beta-receptor),CHEMBL1201237,Small molecule,LEVOBUNOLOL
Diagnostic Aid (radiopaque medium),CHEMBL1201239,Small molecule,IODAMIDE
Cardiac Depressant (anti-arrhythmic),CHEMBL1201242,Small molecule,INDECAINIDE
Diagnostic Aid (radiopaque medium),CHEMBL1201243,Small molecule,IPODATE
Neuromuscular Blocking Agent,CHEMBL1201244,Small molecule,ROCURONIUM
Antihistaminic,CHEMBL1201245,Small molecule,BROMODIPHENHYDRAMINE
Neuromuscular Blocking Agent,CHEMBL1201248,Small molecule,CISATRACURIUM
Anti-Emetic,CHEMBL1201250,Small molecule,BENZQUINAMIDE
Stimulant (cardiac),CHEMBL1201251,Small molecule,ARBUTAMINE
Anti-Emetic,CHEMBL1201256,Small molecule,TRIMETHOBENZAMIDE
Antihypertensive,CHEMBL1201260,Small molecule,BETHANIDINE
"Diagnostic Aid (radiopaque medium, cholecystographic)",CHEMBL1201261,Small molecule,TYROPANOIC ACID
"Adrenergic (ophthalmic),Antiglaucoma Agent",CHEMBL1201262,Small molecule,DIPIVEFRIN
,CHEMBL1201263,Small molecule,HYDROCORTAMATE
,CHEMBL1201264,Small molecule,METHANTHELINE
"Adrenocortical Steroid,Glucocorticoid",CHEMBL1201265,Small molecule,METHYLPREDNISOLONE HEMISUCCINATE
Anti-Asthmatic; Anti-Allergic,CHEMBL1201266,Small molecule,LODOXAMIDE
Anorexic,CHEMBL1201269,Small molecule,CHLORPHENTERMINE
Antibacterial (urinary),CHEMBL1201270,Small molecule,METHENAMINE
Antinauseant,CHEMBL1201271,Small molecule,BUCLIZINE
,CHEMBL1201273,Small molecule,PROTOKYLOL
Anti-Adrenergic (beta-receptor),CHEMBL1201274,Small molecule,LEVOBETAXOLOL
,CHEMBL1201275,Small molecule,ISOSULFAN BLUE
Antirickettsial; Antibacterial,CHEMBL1201281,Small molecule,CHLORAMPHENICOL SUCCINIC ACID
,CHEMBL1201284,Small molecule,CINACALCET
,CHEMBL1201286,Small molecule,OXYPHENONIUM
Antihistaminic,CHEMBL1201287,Small molecule,DEXBROMPHENIRAMINE
Relaxant (skeletal muscle),CHEMBL1201288,Small molecule,DANTROLENE
,CHEMBL1201289,Small molecule,CLINDAMYCIN PALMITATE
Diagnostic Aid (radiopaque medium),CHEMBL1201291,Small molecule,IOXAGLIC ACID
,CHEMBL1201293,Small molecule,ACAMPROSATE
Antiperistaltic,CHEMBL1201294,Small molecule,DIPHENOXYLATE
Bronchodilator,CHEMBL1201295,Small molecule,BITOLTEROL
"Diagnostic Aid (radiopaque medium),Radioactive Agent",CHEMBL1201300,Small molecule,IOTHALAMIC ACID
,CHEMBL1201301,Small molecule,MANGAFODIPIR
Glucocorticoid,CHEMBL1201302,Small molecule,DEXAMETHASONE PHOSPHORIC ACID
Anthelmintic,CHEMBL1201303,Small molecule,PYRVINIUM
,CHEMBL1201304,Small molecule,INDOCYANINE GREEN
Radioactive Agent; Diagnostic Aid,CHEMBL1201308,Small molecule,IOFETAMINE
Antitussive,CHEMBL1201313,Small molecule,CHLOPHEDIANOL
Antiviral,CHEMBL1201314,Small molecule,VALGANCICLOVIR
Sedative-Hypnotic,CHEMBL1201317,Small molecule,TRICLOFOS
Adrenergic,CHEMBL1201319,Small molecule,METARAMINOL
,CHEMBL1201320,Small molecule,ESOMEPRAZOLE
Antiperistaltic,CHEMBL1201321,Small molecule,DIFENOXIN
Detergent,CHEMBL1201322,Small molecule,THONZONIUM
,CHEMBL1201323,Small molecule,BETAZOLE
,CHEMBL1201325,Small molecule,HEXOCYCLIUM
,CHEMBL1201327,Small molecule,ACETRIZOIC ACID
Antipsychotic,CHEMBL1201328,Small molecule,CARPHENAZINE
Antihypertensive,CHEMBL1201329,Small molecule,TRIMETHAPHAN
Anticholinergic,CHEMBL1201335,Small molecule,GLYCOPYRRONIUM
Anticonvulsant,CHEMBL1201336,Small molecule,FOSPHENYTOIN
Anticholinergic (ophthalmic),CHEMBL1201338,Small molecule,CYCLOPENTOLATE
,CHEMBL1201340,Small molecule,DIPHEMANIL
Cholinergic (ophthalmic),CHEMBL1201341,Small molecule,ECHOTHIOPHATE
Relaxant (smooth muscle),CHEMBL1201342,Small molecule,METHIXENE
,CHEMBL1201345,Small molecule,TETRADECYL SULFURIC ACID
Anti-Inflammatory (gastrointestinal),CHEMBL1201346,Small molecule,BALSALAZIDE
Analgesic (narcotic),CHEMBL1201347,Small molecule,ANILERIDINE
Vitamin (prothrombogenic),CHEMBL1201348,Small molecule,MENADIOL DIPHOSPHORIC ACID
Relaxant (skeletal muscle); Synergist (succinylcholine),CHEMBL1201349,Small molecule,HEXAFLUORENIUM
Neuromuscular Blocking Agent,CHEMBL1201352,Small molecule,RAPACURONIUM
Antihistaminic,CHEMBL1201353,Small molecule,DEXCHLORPHENIRAMINE
,CHEMBL1201354,Small molecule,TRIDIHEXETHYL
Oxytocic,CHEMBL1201356,Small molecule,METHYLERGONOVINE
Diagnostic Aid (radiopaque medium),CHEMBL1201458,Small molecule,ETHIODIZED OIL
,CHEMBL1201525,Small molecule,TECHNETIUM TC-99M POLYPHOSPHATE KIT
Anti-Inflammatory (interstitial cystitis),CHEMBL1201516,Small molecule,PENTOSAN POLYSULFATE SODIUM
,CHEMBL1201531,Small molecule,VERATRUM VIRIDE ROOT
Smoking Cessation Adjunct,CHEMBL1201536,Small molecule,NICOTINE POLACRILEX
,CHEMBL1201480,Small molecule,POLYTETRAFLUOROETHYLENE
,CHEMBL1201444,Small molecule,CRYPTENAMINE ACETATES
,CHEMBL1201454,Small molecule,ALSEROXYLON
Antitussive,CHEMBL1201461,Small molecule,DEXTROMETHORPHAN POLISTIREX
Antitussive,CHEMBL1201463,Small molecule,CODEINE POLISTIREX
Antitussive,CHEMBL1201470,Small molecule,HYDROCODONE POLISTIREX
,CHEMBL1201477,Small molecule,POLYESTRADIOL PHOSPHATE
,CHEMBL1201486,Small molecule,QUINIDINE POLYGALACTURONATE
Adrenergic (vasoconstrictor),CHEMBL1201535,Small molecule,PHENYLPROPANOLAMINE POLISTIREX
,CHEMBL1201625,Small molecule,CHOLESTYRAMINE
Antihyperphosphatemic,CHEMBL1201492,Small molecule,SEVELAMER HYDROCHLORIDE
Antibacterial,CHEMBL1201469,Small molecule,GRAMICIDIN
,CHEMBL1201517,Small molecule,PERFLUOROPOLYMETHYLISOPROPYL ETHER
Pharmaceutic Necessity,CHEMBL1201485,Small molecule,SOYBEAN OIL
Antibacterial,CHEMBL1201441,Small molecule,COLISTIMETHATE SODIUM
,CHEMBL1201479,Small molecule,POLYETHYLENE GLYCOL 3350
Antihistaminic,CHEMBL1201659,Small molecule,CHLORPHENIRAMINE POLISTIREX
,CHEMBL1201466,Small molecule,"ESTROGENS, CONJUGATED SYNTHETIC A"
Ion-Exchange Resin (potassium),CHEMBL1201484,Small molecule,SODIUM POLYSTYRENE SULFONATE
,CHEMBL1201658,Small molecule,ALKAVERVIR
Estrogen,CHEMBL1201468,Small molecule,"ESTROGENS, ESTERIFIED"
Antihyperlipidemic,CHEMBL1201473,Small molecule,COLESEVELAM HYDROCHLORIDE
,CHEMBL1201603,Small molecule,CRYPTENAMINE TANNATES
,CHEMBL1201467,Small molecule,"SYNTHETIC CONJUGATED ESTROGENS, B"
Antineoplastic,CHEMBL1201481,Small molecule,PORFIMER SODIUM
Nasal Decongestant,CHEMBL1201483,Small molecule,PSEUDOEPHEDRINE POLISTIREX
,CHEMBL1201493,Small molecule,SIMETHICONE-CELLULOSE
Immunomodulator,CHEMBL1201507,Small molecule,GLATIRAMER ACETATE
Estrogen,CHEMBL1201649,Small molecule,"ESTROGENS, CONJUGATED"
,CHEMBL1201728,Small molecule,DESVENLAFAXINE SUCCINATE
,CHEMBL1201729,Small molecule,DRONEDARONE HYDROCHLORIDE
,CHEMBL1201731,Small molecule,NEBIVOLOL HYDROCHLORIDE
,CHEMBL1201733,Small molecule,PAZOPANIB HYDROCHLORIDE
,CHEMBL1201734,Small molecule,BENDAMUSTINE HYDROCHLORIDE
,CHEMBL1201735,Small molecule,BUPROPION HYDROBROMIDE
,CHEMBL1201740,Small molecule,NILOTINIB HYDROCHLORIDE MONOHYDRATE
,CHEMBL1201743,Small molecule,SAXAGLIPTIN HYDROCHLORIDE
,CHEMBL1201745,Small molecule,CHOLINE FENOFIBRATE
,CHEMBL1201746,Small molecule,PRALATREXATE
,CHEMBL1201747,Small molecule,ALCAFTADINE
,CHEMBL1201748,Small molecule,CABAZITAXEL
